nodeId,timestamp,cpu_wio,mem_free,Missed Buffers_P1,cpu_user,bytes_out,proc_run,bytes_in,pkts_out
node-000,2024-01-01 19:24:00,0.6898,23246906.7564,0.0,0.6116,165542.2176,7.9361,6316021.6816,896.2733
node-001,2024-01-01 19:24:00,0.5075,22767157.4496,0.374,0.7609,108062.5827,4.0138,6219531.7631,807.9791
node-002,2024-01-01 19:24:00,0.0933,11094797.3052,0.0,0.7082,110290.6889,3.7399,6189625.5738,912.763
node-003,2024-01-01 19:24:00,0.1697,23576827.0506,0.0,0.7536,130443.9351,1.0708,6268038.2516,871.8087
node-004,2024-01-01 19:24:00,0.5963,22240932.7293,0.0,0.4217,89783.8238,6.0942,6466219.8884,905.7327
node-005,2024-01-01 19:24:00,0.3801,10058858.6823,0.2171,0.7029,61725.4318,1.3953,6233350.7198,892.881
node-006,2024-01-01 19:24:00,0.0868,22692376.0955,0.0,0.1915,115933.7989,2.1656,6097380.914,756.5423
node-007,2024-01-01 19:24:00,0.0,22757206.2317,0.3304,0.6342,161482.5224,1.9573,6183004.8312,889.8497
node-008,2024-01-01 19:24:00,0.1342,22623412.455,0.0,0.4059,113314.4958,5.05,6192086.9753,841.0521
node-009,2024-01-01 19:24:00,0.0,23153844.6691,0.0,1.0068,105414.5438,1.9891,6459418.6696,834.7257
node-010,2024-01-01 19:24:00,0.4175,22672927.8754,0.5424,1.1842,119984.5424,3.9192,6609185.2061,878.3263
node-011,2024-01-01 19:24:00,0.1892,21886329.3629,0.152,0.6758,156061.9622,7.937,6048057.4735,835.5245
node-012,2024-01-01 19:24:00,0.1112,21851818.0557,0.0,0.7128,116998.6786,4.7806,6403058.8777,850.5648
node-013,2024-01-01 19:24:00,0.8483,22369693.015,0.0,0.7387,125825.14,0.0176,17201.9162,895.7498
node-014,2024-01-01 19:24:00,0.156,23937112.896,0.0,0.6666,98782.3935,4.0815,6243663.5928,861.1412
node-015,2024-01-01 19:24:00,0.6608,22671553.0654,0.0,0.1801,24199.9225,0.9584,6375758.6894,807.7897
node-016,2024-01-01 19:24:00,0.1972,23388750.4135,0.0,0.2997,126551.5824,4.1008,6115176.5628,899.1735
node-017,2024-01-01 19:24:00,0.1029,26721835.3558,0.2936,0.4001,23700.2899,4.9975,6232613.0032,884.5338
node-018,2024-01-01 19:24:00,0.092,23189017.6084,0.0744,0.6905,102987.0672,1.9038,6484995.2431,895.8713
node-019,2024-01-01 19:24:00,1.3936,23547881.6843,0.7906,0.5812,9614.6169,3.0026,6281331.7035,840.0903
node-020,2024-01-01 19:24:00,0.1092,22438350.9747,0.0329,0.5959,149357.2647,6.9001,6509123.9435,882.401
node-021,2024-01-01 19:24:00,0.4673,22926533.0999,0.498,1.0034,99495.7872,4.5212,6245757.7873,871.9295
node-022,2024-01-01 19:24:00,0.1085,22756684.6108,0.7384,0.2908,109502.9908,5.0887,6100738.2688,856.542
node-023,2024-01-01 19:24:00,0.6891,22574457.7108,0.0,0.499,119310.9194,2.0275,6360474.3433,818.4123
node-024,2024-01-01 19:24:00,0.081,22213177.1106,0.0,0.6043,66773.5837,2.0106,6461301.9825,905.9767
node-025,2024-01-01 19:24:00,0.0132,23746055.7007,0.573,0.7428,77681.5812,3.8637,6416321.894,877.7082
node-026,2024-01-01 19:24:00,0.0858,23275149.5523,0.0,0.112,96482.7989,2.9264,6462046.1851,757.8437
node-027,2024-01-01 19:24:00,0.8184,22515343.2881,0.0,0.4732,98916.9392,5.1618,6091278.6985,811.8645
node-028,2024-01-01 19:24:00,2.2614,23906825.4674,0.0,0.6908,32921.5382,2.1366,6142372.5224,867.2478
node-029,2024-01-01 19:24:00,0.1257,23008010.6637,0.2896,0.594,86718.6568,6.1409,6333657.3722,854.3648
node-030,2024-01-01 19:24:00,0.0898,23416730.3276,1.149,0.4737,16424.2185,3.0431,6107492.12,855.2546
node-031,2024-01-01 19:24:00,0.0,29012904.2445,0.0,0.2094,0.0,0.0,97161.1029,0.0
