nodeId,timestamp,cpu_wio,mem_free,Missed Buffers_P1,cpu_user,bytes_out,proc_run,bytes_in,pkts_out
node-000,2024-01-01 20:14:00,0.195,9144144.3637,0.0639,1.2307,139966.7137,13.8571,6193224.1525,949.3711
node-001,2024-01-01 20:14:00,0.1171,9552730.8043,0.8547,1.1023,124934.2014,7.978,6182639.4632,915.9549
node-002,2024-01-01 20:14:00,0.1087,9396392.654,0.0,1.449,123124.8606,7.0184,6245483.0897,962.3918
node-003,2024-01-01 20:14:00,0.101,10873524.9848,0.0,0.8047,139050.6942,5.9585,6156387.4814,938.1845
node-004,2024-01-01 20:14:00,0.0819,9214674.362,0.0,1.0908,113601.5019,9.0243,6188195.8939,960.8685
node-005,2024-01-01 20:14:00,0.1187,8268541.4924,0.0,0.8962,114226.9635,9.044,6235853.7061,952.8404
node-006,2024-01-01 20:14:00,0.0,9438416.2272,0.0,0.2011,88450.3011,2.9062,6208660.8491,898.8675
node-007,2024-01-01 20:14:00,0.3361,8686929.619,0.0,0.6031,191292.0248,5.0041,6146176.3651,958.3316
node-008,2024-01-01 20:14:00,0.1146,9131566.9974,0.0,0.7777,114688.2264,5.9724,6280253.055,909.5725
node-009,2024-01-01 20:14:00,0.1053,9849441.708,0.0523,0.7996,89457.9147,7.0011,6324439.7807,956.5638
node-010,2024-01-01 20:14:00,0.0842,9181413.628,0.1233,1.2926,117776.445,7.1353,6180830.3031,954.7476
node-011,2024-01-01 20:14:00,0.497,8673286.5177,0.0768,1.5747,97563.3203,9.0094,6177578.6911,967.9465
node-012,2024-01-01 20:14:00,0.1265,8256719.1722,0.0821,1.106,119456.225,6.9057,6428215.5281,947.3376
node-013,2024-01-01 20:14:00,0.116,9290823.1526,0.2905,0.999,153259.1578,0.1314,23747.5772,962.203
node-014,2024-01-01 20:14:00,0.0933,10780996.3119,0.0,0.8817,94600.7362,6.9847,6185754.7307,915.6693
node-015,2024-01-01 20:14:00,0.0,8408744.8169,0.0,0.1898,99902.5158,5.0217,6302884.7166,921.6626
node-016,2024-01-01 20:14:00,0.0169,8529969.3381,0.5561,0.8996,128225.8524,8.9548,6269259.2452,952.1199
node-017,2024-01-01 20:14:00,0.24,10422018.9119,0.6577,0.6465,161866.7124,6.1614,6222641.8132,949.6091
node-018,2024-01-01 20:14:00,0.1052,9132204.1714,0.0,1.3123,132059.1135,16.022,6197294.8688,942.8339
node-019,2024-01-01 20:14:00,0.1022,9656248.7706,0.3083,0.9846,114628.9072,5.0312,6164308.6594,952.5272
node-020,2024-01-01 20:14:00,0.2092,8950417.2671,0.0,1.3333,137592.7028,7.9719,6196850.8909,958.3803
node-021,2024-01-01 20:14:00,0.0,9754003.2336,0.9397,1.5532,117115.0122,6.9964,6295907.2141,967.8891
