nodeId,timestamp,cpu_wio,mem_free,Missed Buffers_P1,cpu_user,bytes_out,proc_run,bytes_in,pkts_out
node-000,2024-01-01 18:54:00,0.0949,7476681.9791,0.0,1.1015,147354.0161,5.9543,6397788.0306,992.6963
node-001,2024-01-01 18:54:00,0.1991,7264548.1774,1.1798,1.0051,133471.3419,7.9297,6219574.3032,964.7306
node-002,2024-01-01 18:54:00,0.0908,8373468.6097,0.2808,1.3198,79436.4191,9.9794,6313930.6239,952.8619
node-003,2024-01-01 18:54:00,0.1025,9399336.4783,5.555,0.7076,126088.0457,6.908,6292481.4344,958.1666
node-004,2024-01-01 18:54:00,0.064,8168463.2815,0.0,1.1208,135050.2008,7.2107,6236448.7571,958.6203
node-005,2024-01-01 18:54:00,0.0,7819683.9633,1.0815,0.8463,138565.7227,6.9611,6238908.6883,944.1032
node-006,2024-01-01 18:54:00,0.0117,4927356.7455,9.5972,0.2014,79851.6625,3.0724,6360920.5751,921.6805
node-007,2024-01-01 18:54:00,0.0741,6923810.5804,7.3867,0.7633,130449.3703,6.0438,6218419.8757,945.3512
node-008,2024-01-01 18:54:00,0.1963,7753698.2132,14.0012,1.0956,129492.034,5.9195,6258755.7175,935.8055
node-009,2024-01-01 18:54:00,0.0765,7796965.9361,3.0741,1.0003,120369.4608,5.8926,6260629.5108,956.5655
node-010,2024-01-01 18:54:00,0.0842,8350289.781,0.0042,1.8317,113733.7587,13.0139,6214164.2183,958.6203
node-011,2024-01-01 18:54:00,0.0896,7401622.7579,8.0961,0.7104,95260.9128,7.1216,6201982.9865,958.1698
node-012,2024-01-01 18:54:00,0.1096,7444428.8022,0.0,1.3244,132500.5583,7.984,6332435.5528,927.6978
node-013,2024-01-01 18:54:00,0.1117,7533797.2256,0.0,1.0676,176950.6172,0.052,34832.0657,944.9633
node-014,2024-01-01 18:54:00,0.0959,9729058.6932,0.0,0.6939,77515.0628,11.114,6221792.8188,932.4345
node-015,2024-01-01 18:54:00,0.0104,3928535.7557,0.0,0.1038,114827.6117,3.9778,6030611.4403,893.743
node-016,2024-01-01 18:54:00,0.115,7189808.4848,7.5967,0.9745,125667.7819,5.9637,6161824.4242,952.0269
node-017,2024-01-01 18:54:00,0.2998,8725580.4736,0.0,0.6778,155650.8097,9.0216,6268477.3291,950.2143
node-018,2024-01-01 18:54:00,0.1022,8205512.2455,8.6518,1.099,113556.3228,11.0813,6265181.1294,949.8925
node-019,2024-01-01 18:54:00,0.1042,7577174.2605,0.2993,0.9609,124942.5747,8.1375,6232589.507,929.3156
node-020,2024-01-01 18:54:00,0.1898,7866595.2727,0.9302,2.126,122190.5672,7.005,6213859.7367,942.3222
node-021,2024-01-01 18:54:00,0.09,8345612.8536,0.1384,1.5882,125219.6597,7.8934,6256062.1817,965.5557
node-022,2024-01-01 18:54:00,0.1178,8737951.6777,0.1081,0.912,121810.4953,6.9027,6257259.5818,953.3256
node-023,2024-01-01 18:54:00,0.0,7428920.8584,6.1287,0.5935,103544.0361,6.9139,6237467.0318,936.1488
node-024,2024-01-01 18:54:00,0.1058,7245412.6622,6.4028,0.806,124940.9112,10.9206,6354632.8691,962.3291
node-025,2024-01-01 18:54:00,0.1197,8949526.301,0.1049,0.8254,124417.46,7.3058,6360006.2235,941.4835
node-026,2024-01-01 18:54:00,0.0,4671762.5974,0.0,0.1926,153051.3909,4.1788,6336672.2346,917.7146
node-027,2024-01-01 18:54:00,0.0825,7865018.0271,6.7279,0.9123,120828.8965,7.9975,6222870.6882,976.1104
node-028,2024-01-01 18:54:00,0.1125,8379304.9778,4.4521,1.0973,123900.1307,7.9343,6234462.7791,937.8925
node-029,2024-01-01 18:54:00,0.2052,7866657.5153,8.7941,1.4751,122173.7045,7.9826,6289740.0627,952.2923
node-030,2024-01-01 18:54:00,0.0976,7527241.8001,0.0,3.1234,92886.8303,6.2207,6170564.9688,959.1807
node-031,2024-01-01 18:54:00,0.0063,29175418.2413,0.0,0.0031,0.0,0.0,90348.5755,5.8363
node-032,2024-01-01 18:54:00,0.1115,7461116.4393,10.891,0.9683,134246.9136,9.9322,6180380.3604,951.5014
node-033,2024-01-01 18:54:00,0.2127,7362007.8392,1.8579,1.0989,136308.8661,8.9884,6269816.6901,962.4871
node-034,2024-01-01 18:54:00,0.0,5302332.8326,0.0,0.1205,130460.9233,2.8906,6336107.4579,926.8324
node-035,2024-01-01 18:54:00,0.119,9432172.1139,0.9896,0.6798,122039.2602,10.0712,6302054.4889,957.3352
node-036,2024-01-01 18:54:00,0.0886,8659343.7152,0.0,1.0239,136129.3251,7.9288,6204420.0236,939.0855
node-037,2024-01-01 18:54:00,0.0933,8009761.3034,11.9659,0.9549,127370.6853,10.9769,6172828.3862,953.0257
node-038,2024-01-01 18:54:00,0.1039,7244991.3496,3.3603,0.8262,107243.1895,5.9358,6271305.902,960.3074
node-039,2024-01-01 18:54:00,0.087,8386796.7255,8.3544,0.9816,145312.9218,11.9804,6242243.3764,954.9793
node-040,2024-01-01 18:54:00,0.0,4729316.2561,0.1276,0.2031,155819.4058,3.1401,6164439.9936,887.49
node-041,2024-01-01 18:54:00,0.1161,7914094.0751,4.762,0.8421,132559.3921,10.0587,6234531.431,958.2978
node-042,2024-01-01 18:54:00,0.0939,7526508.0742,11.0818,0.9092,97476.878,8.9714,6148128.2326,927.9397
node-043,2024-01-01 18:54:00,0.0186,8939169.4028,0.0,0.8135,112059.9834,8.9107,6269527.8044,975.6308
node-044,2024-01-01 18:54:00,0.4041,7404472.4736,8.9894,0.9781,139767.1121,6.9489,6211107.2772,946.4542
node-045,2024-01-01 18:54:00,0.0993,7977193.962,0.1197,1.0325,84809.226,7.9822,6152392.7593,946.4301
node-046,2024-01-01 18:54:00,0.0969,7545110.1448,0.0,0.9029,81736.0,9.0444,6287075.4358,951.0234
node-047,2024-01-01 18:54:00,0.0955,7758089.3648,0.0,0.8015,109106.7379,5.9242,6216260.6734,954.9245
node-048,2024-01-01 18:54:00,0.0981,8044076.5868,1.866,0.6068,98522.1441,6.0049,6220466.0145,965.4266
node-049,2024-01-01 18:54:00,0.0,5220276.9147,0.3955,0.0854,103404.2011,3.0131,6203495.8525,892.9182
